secondary_age,location_type,area_ha
3,total_edge_ha,1038318.30955351
3,total_int_ha,195983.247568285
4,total_edge_ha,935331.157485258
4,total_int_ha,215293.32394142
5,total_edge_ha,785779.519198405
5,total_int_ha,204934.963835388
6,total_edge_ha,599955.237538943
6,total_int_ha,174610.344587692
7,total_edge_ha,484314.237824292
7,total_int_ha,149164.851898076
8,total_edge_ha,405552.167702563
8,total_int_ha,129726.026509164
9,total_edge_ha,350892.713239573
9,total_int_ha,118259.197068154
10,total_edge_ha,298041.097365708
10,total_int_ha,102890.105057929
11,total_edge_ha,254206.770268555
11,total_int_ha,91886.5127270214
12,total_edge_ha,220275.738656623
12,total_int_ha,83671.1475404218
13,total_edge_ha,194353.827205675
13,total_int_ha,77782.1705377343
14,total_edge_ha,171206.550926325
14,total_int_ha,72363.8842329762
15,total_edge_ha,152420.448902202
15,total_int_ha,64032.9117278677
16,total_edge_ha,138135.627210542
16,total_int_ha,59289.8450212105
17,total_edge_ha,122813.643947987
17,total_int_ha,55641.5890859806
18,total_edge_ha,106641.192733467
18,total_int_ha,46614.617914689
19,total_edge_ha,88714.080900308
19,total_int_ha,38174.4855660592
20,total_edge_ha,74843.2456990459
20,total_int_ha,32264.1707580322
21,total_edge_ha,63705.0117266599
21,total_int_ha,28172.7143961101
22,total_edge_ha,55237.9427581697
22,total_int_ha,24899.2886566091
23,total_edge_ha,48283.7151964506
23,total_int_ha,21460.8727659584
24,total_edge_ha,41995.6351961655
24,total_int_ha,19560.682310386
25,total_edge_ha,37156.7533852508
25,total_int_ha,18140.0336574713
26,total_edge_ha,32171.8813618457
26,total_int_ha,15271.1424083215
27,total_edge_ha,27454.5096256467
27,total_int_ha,13652.8063226195
28,total_edge_ha,24085.4408924683
28,total_int_ha,11295.8476938091
29,total_edge_ha,20288.9776702583
29,total_int_ha,10108.3571570226
30,total_edge_ha,16642.4869168892
30,total_int_ha,8745.09912455121
31,total_edge_ha,14551.9151368698
31,total_int_ha,7935.83955161259
32,total_edge_ha,12774.4039146817
32,total_int_ha,6910.74841069781
33,total_edge_ha,11937.8677098142
33,total_int_ha,6425.49868323024
34,total_edge_ha,9184.98735013323
34,total_int_ha,4526.14305378413
35,total_edge_ha,5681.10856253088
35,total_int_ha,3274.05418201825
36,total_edge_ha,3809.72530779007
36,total_int_ha,2209.34780222398
37,total_edge_ha,2217.81057221584
37,total_int_ha,1150.79761264388
38,total_edge_ha,329.749022484442
38,total_int_ha,324.945871372286
